Black,BlackElo,BlackRatingDiff,Event,Opening,Result,Site,Termination,TimeControl,White,WhiteElo,WhiteRatingDiff,Eval,WinElo,EloDiff
INTIWATANA,1670,-23,Rated Blitz tournament https://lichess.org/tournament/ALSPH3ta,King's Gambit Accepted,1,https://lichess.org/GILqUk7y,Time forfeit,300+0,darko399,1706,+11,-87,1670,36
malito,1204,-6,Rated Classical game,English Opening,1,https://lichess.org/QiVmpvlu,Normal,900+2,souayahaymen,1357,+7,104,1204,153
dddsss,1574,+36,Rated Blitz game,Sicilian Defense,0,https://lichess.org/TCuMKmh5,Normal,180+0,FrereKeiser,1517,-9,39,1574,-57
colfax,1785,+11,Rated Bullet game,Slav Defense,0,https://lichess.org/7SleS8Sm,Time forfeit,120+0,linuxinside,1794,-11,184,1785,9
mazorra,1612,-10,Rated Classical game,Italian Game,1,https://lichess.org/xqJllWaF,Normal,600+0,hveen,1602,+12,96,1612,-10
Bogeyman,1576,+4,Rated Classical game,Queen's Pawn Game #2,0,https://lichess.org/N8wOqLE7,Normal,480+0,chessforbeginners,1148,-30,33,1576,-428
Sasha0379,1978,-17,Rated Classical game,Danish Gambit,1,https://lichess.org/qYwPdVdj,Time forfeit,600+10,cepelinas,1464,+459,176,1978,-514
satardirk,1733,+11,Rated Classical game,Van Geet Opening,0,https://lichess.org/EZfHhgQP,Normal,360+7,ojot,1744,-11,38,1733,11
champtazz14,1557,-11,Rated Classical game,Bishop's Opening,1,https://lichess.org/7LfwyiUL,Normal,300+5,ak-tr,1561,+11,-18,1557,4
batostar,1512,-10,Rated Bullet game,Queen's Gambit Accepted,1,https://lichess.org/DCYcuo23,Time forfeit,120+0,armagedon4,1549,+11,-1,1512,37
dezano,1664,-11,Rated Blitz game,Van't Kruijs Opening,1,https://lichess.org/vbocDpVV,Normal,180+0,chriscool34,1638,+11,286,1664,-26
mikeisapro,1625,+15,Rated Bullet game,King's Gambit,0,https://lichess.org/xzaz7tp4,Time forfeit,60+0,potsy722,1782,-17,-94,1625,157
djin,1996,-8,Rated Bullet game,Sicilian Defense,1,https://lichess.org/c3iloWO4,Normal,60+0,EGNfanclub,2095,+8,18,1996,99
MarianW,1666,-7,Rated Blitz game,Sicilian Defense,1,https://lichess.org/AFaqIbHU,Time forfeit,300+0,t-o-l-y,1814,+6,49,1666,148
AngelHell,1447,-8,Rated Classical game,Scotch Game,1,https://lichess.org/jdgPUNur,Normal,600+0,sentenza_be,1558,+24,81,1447,111
utrilla,1620,+7,Rated Classical game,Italian Game,0,https://lichess.org/Zbw0qiJI,Normal,600+15,practic1ng,1514,-8,-851,1620,-106
Rahstah,1643,-12,Rated Bullet game,Horwitz Defense,1,https://lichess.org/MrMMEVQ4,Time forfeit,60+0,falanx,1619,+11,-10,1643,-24
moribund,1809,-10,Rated Bullet game,French Defense,1,https://lichess.org/Nq1POT2L,Normal,60+0,DolfjeWeerwolfje,1814,+16,65,1809,5
vlad-61,1928,-24,Rated Blitz game,Rat Defense,1,https://lichess.org/w1TEo7K4,Time forfeit,180+4,yorauly,1698,+17,120,1928,-230
dnzylmz,1709,+5,Rated Blitz game,Sicilian Defense,0,https://lichess.org/efgfkS7N,Normal,300+0,AvelinoMano,1498,-5,25,1709,-211
myst--19,1406,-6,Rated Blitz game,French Defense,1,https://lichess.org/jOAIKDjT,Normal,300+0,ridox,1633,+5,126,1406,227
TapakaH41k,1924,+1,Rated Blitz tournament https://lichess.org/tournament/ALSPH3ta,Sicilian Defense,0,https://lichess.org/brxQRq8v,Normal,300+0,AnnaLiseDeSang,1337,-1,-224,1924,-587
zilberman1,1532,-7,Rated Blitz game,Sicilian Defense,1,https://lichess.org/yfs3LeKL,Time forfeit,300+2,Glyneth,1684,+7,32,1532,152
Drole2Type,1798,+3,Rated Blitz game,Van't Kruijs Opening,0,https://lichess.org/QnSlzJv0,Normal,180+0,JACKELCALVO,1439,-2,8,1798,-359
nadir25,1733,-11,Rated Classical game,Anderssen Opening,1,https://lichess.org/8ws0OEKB,Normal,420+5,Ollecram,1720,+12,5,1733,-13
SIGART,1520,-17,Rated Bullet tournament https://lichess.org/tournament/GryAvpp1,Bird Opening,1,https://lichess.org/fA1gpDmO,Time forfeit,60+0,m654,1688,+7,45,1520,168
galita,1273,+9,Rated Bullet game,French Defense,0,https://lichess.org/wXg24zH1,Time forfeit,60+1,singraal,1210,-12,187,1273,-63
tim246484,1370,-9,Rated Blitz game,Scotch Game,1,https://lichess.org/MOcjt5pu,Normal,300+3,Vlast777,1416,+12,88,1370,46
TheMeepOne,1524,+8,Rated Blitz game,Alekhine Defense,0,https://lichess.org/EzHadEsb,Normal,300+0,nach0,1453,-9,43,1524,-71
adit98,1481,-19,Rated Classical game,Italian Game,1,https://lichess.org/RyePY9Gl,Normal,300+8,dkurashev,1472,+12,614,1481,-9
danishshres,1462,+13,Rated Classical game,Polish Opening,0,https://lichess.org/pwt270KI,Time forfeit,300+8,subwofer25,1478,-11,-11,1462,16
igo1,2068,+5,Rated Bullet game,Caro-Kann Defense,0,https://lichess.org/w2JtWK3p,Normal,60+0,pseudoknight,1844,-5,294,2068,-224
uuugly,1596,-8,Rated Classical game,Scotch Game,1,https://lichess.org/loQXFpBY,Normal,360+5,blueher,1686,+8,192,1596,90
augustus_hill,1618,-8,Rated Bullet game,Scandinavian Defense,1,https://lichess.org/V2K9vewB,Time forfeit,60+0,efo,1702,+9,205,1618,84
Kobylka,1920,-6,Rated Bullet game,Caro-Kann Defense,1,https://lichess.org/qSkB3u30,Time forfeit,60+0,nazaki1234,2069,+6,-8,1920,149
lpaulmp,1461,+8,Rated Bullet game,Zukertort Opening,0,https://lichess.org/qwLxIDN5,Time forfeit,60+0,DavidMuc,1500,-196,-13,1461,39
hassan1977,2036,,Rated Blitz tournament https://lichess.org/tournament/ALSPH3ta,Scandinavian Defense,0,https://lichess.org/no5lE7Pu,Normal,300+0,vadimdim,1662,,-225,2036,-374
krisfo97,1303,-18,Rated Bullet tournament https://lichess.org/tournament/GryAvpp1,Englund Gambit Complex Declined,1,https://lichess.org/37Bk2uQH,Time forfeit,60+0,IngUNIFIIS,1737,+3,544,1303,434
marcoantonio,1193,+14,Rated Blitz game,King's Pawn Game,0,https://lichess.org/bzd39Ljz,Normal,300+0,demon129,1257,-12,68,1193,64
diegogomez,1722,+3,Rated Bullet game,French Defense,0,https://lichess.org/yJfJ1IIF,Time forfeit,120+1,gelu_mioara,1417,-3,-71,1722,-305
Oluja95,1918,+10,Rated Blitz game,Sicilian Defense,0,https://lichess.org/WR7b0Alm,Normal,180+0,bobby84,1894,-10,13,1918,-24
haroldF,1365,-3,Rated Classical game,Philidor Defense #2,2,https://lichess.org/5hVBr8oO,Normal,600+5,steobeo,1323,+1,86,1365,-42
Voittamaton,1873,-18,Rated Bullet tournament https://lichess.org/tournament/GryAvpp1,Four Knights Game,1,https://lichess.org/umkkF2IU,Normal,60+0,m654,1695,+18,351,1873,-178
Tigre0000,1355,-12,Rated Blitz game,Owen Defense,1,https://lichess.org/SFSc1AVy,Normal,0+5,Smok,1352,+13,85,1355,-3
