Black,BlackElo,BlackRatingDiff,Event,Opening,Result,Site,Termination,TimeControl,White,WhiteElo,WhiteRatingDiff,Eval,WinElo,EloDiff
stuart59,1532,+5,Rated Classical game,Queen's Gambit Declined,2,https://lichess.org/QuRIdBK2,Normal,720+0,OnlyAPawnInTheirGame,1694,-5,107,1532,162
bestgame,1235,+16,Rated Blitz game,Zukertort Opening,0,https://lichess.org/jBpN1haN,Normal,420+0,AZCornhusker,1335,-15,94,1235,100
nicolous,1629,+9,Rated Blitz game,Indian Game,0,https://lichess.org/xBI2goBV,Normal,300+1,Aprilita,1586,-9,12,1629,-43
Amazing-Grace,1513,-5,Rated Bullet game,Philidor Defense,1,https://lichess.org/xpmWzDPm,Time forfeit,0+1,tomi36,1773,+5,376,1513,260
inspecteur_snail,1520,-14,Rated Classical game,Sicilian Defense,1,https://lichess.org/wgDwXqSN,Time forfeit,300+5,leojustino,1429,+14,62,1520,-91
vadimdim,1702,+7,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,Bird Opening,0,https://lichess.org/5kQm9gXv,Normal,300+0,p00p00p33p33,1558,-9,-105,1702,-144
superca,1410,-7,Rated Classical game,Sicilian Defense,1,https://lichess.org/yujBBXNs,Normal,300+5,sendia,1541,+8,56,1410,131
Vihvillain,2020,+13,Rated Classical game,Scandinavian Defense,0,https://lichess.org/ZJ3gx6qG,Normal,600+0,pozor,1841,-6,66,2020,-179
PShepherd,1386,+12,Rated Blitz game,Sicilian Defense,0,https://lichess.org/3odKTdEv,Normal,300+0,s138110,1397,-12,84,1386,11
shekto,1215,-13,Rated Classical game,Three Knights Opening,1,https://lichess.org/aOqCWuMy,Normal,480+0,BlackChees,1147,+13,644,1215,-68
saeta,1545,+11,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,Slav Defense,0,https://lichess.org/rk8yQHl1,Normal,300+0,Queen_Assasin,1320,-6,37,1545,-225
prv1979,1515,+23,Rated Classical game,Italian Game,0,https://lichess.org/QqnvKeAM,Normal,1200+10,albertomagno,1713,-17,214,1515,198
nichiren1967,1769,-9,Rated Bullet game,Englund Gambit Declined,1,https://lichess.org/MF8PSlmx,Normal,60+0,colme,1811,+10,-7,1769,42
jmpx,1611,-15,Rated Blitz game,Indian Game,1,https://lichess.org/omoc3BhR,Normal,180+2,FF4,1497,+14,-51,1611,-114
vira2,1791,-14,Rated Classical game,Danish Gambit,1,https://lichess.org/sV5PFo5C,Normal,600+0,byrongagain,1703,+14,30,1791,-88
chucknorrista,1809,-12,Rated Bullet game,Pirc Defense #4,1,https://lichess.org/6xWDewuv,Time forfeit,0+1,tomi36,1778,+13,-242,1809,-31
ren,1679,-6,Rated Blitz game,Queen's Pawn Game,1,https://lichess.org/HQk98NFh,Normal,180+0,kpenahau,1796,+90,70,1679,117
Master_Chief,1603,-11,Rated Bullet game,Modern Defense,1,https://lichess.org/LzWYYnno,Time forfeit,60+0,Rahstah,1621,+10,-112,1603,18
chessboy1000,1428,+14,Rated Bullet game,St. George Defense,0,https://lichess.org/VFDJdnCz,Normal,0+3,Free21,1540,-14,54,1428,112
danielcuva,2012,-5,Rated Blitz game,French Defense,1,https://lichess.org/tVO1VWc6,Normal,300+0,bookle,2206,+7,14,2012,194
maik1971,1777,-1,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,Caro-Kann Defense,1,https://lichess.org/dQ0KnAo5,Normal,300+0,AdrianVeloso,2304,+2,58,1777,527
EDPAUL,1899,+9,Rated Classical game,French Defense,0,https://lichess.org/fRCp6pgr,Normal,300+5,munchies,1871,-10,8,1899,-28
INALEVA,1971,+5,Rated Classical game,Queen's Gambit Declined,0,https://lichess.org/V9nc3BZ0,Normal,480+0,jfsurban,1743,-5,65,1971,-228
milindsg,1572,-3,Rated Blitz game,Italian Game,1,https://lichess.org/ADOGdENC,Normal,180+2,alejandro83,1912,+3,108,1572,340
cafu2014,1140,-1,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,Queen's Gambit Accepted,1,https://lichess.org/6CzzVVi3,Normal,300+0,caballomanco,1766,+1,145,1140,626
YakutskCity,1175,-8,Rated Blitz game,Nimzowitsch Defense,1,https://lichess.org/R1HJ7w9t,Normal,180+0,robis,1369,+5,1268,1175,194
benexvii,2000,+10,Rated Blitz game,Hungarian Opening,0,https://lichess.org/i1bvXQrY,Normal,120+2,jeremyRutman,1973,-10,-62,2000,-27
gregorc,1648,-11,Rated Classical game,Budapest Defense,1,https://lichess.org/WKx9SMDW,Normal,900+0,joerey,1642,+11,0,1648,-6
colme,1821,+9,Rated Bullet game,Sicilian Defense,0,https://lichess.org/URC7uj0t,Time forfeit,60+0,nichiren1967,1760,-9,97,1821,-61
MasterBR,1308,-8,Rated Classical game,Sicilian Defense,1,https://lichess.org/VeZuNkpf,Normal,480+0,davidpined,1415,+9,74,1308,107
MIHALICH56,1520,-6,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,English Opening,1,https://lichess.org/Kp90ETNx,Time forfeit,60+0,olegasD,1699,+6,50,1520,179
natosil01,1499,-12,Rated Classical game,Queen's Pawn Game #3,1,https://lichess.org/Yo7cZ4JT,Normal,600+0,dnicolasm,1444,+35,38,1499,-55
AATILA,1650,+8,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,Bishop's Opening,0,https://lichess.org/uWWxEzMv,Normal,60+0,vic7,1536,-9,19,1650,-114
Amazing-Grace,1204,+89,Rated Classical game,Reti Opening #2,0,https://lichess.org/kkomrYRm,Normal,480+1,nogueking,1305,-12,40,1204,101
nicksart,1519,+12,Rated Blitz game,Semi-Slav Defense,0,https://lichess.org/68JPF6sl,Normal,240+1,supermagia,1556,-12,33,1519,37
dancingbear,1872,+9,Rated Blitz game,Horwitz Defense,0,https://lichess.org/UIGzdTsr,Normal,180+2,MATH_ERROR,1849,-16,76,1872,-23
Heatran,1431,-12,Rated Classical game,Owen Defense,1,https://lichess.org/WLuEg64P,Normal,780+15,Augusto99,1408,+12,47,1431,-23
SenatorDakotaFanning,1829,+8,Rated Blitz game,Queen's Pawn Game,0,https://lichess.org/uoL2ulPo,Normal,300+0,sjgarcia82,1737,-8,20,1829,-92
emorycook,1416,+1,Rated Blitz game,French Defense,2,https://lichess.org/r8cG30NH,Normal,300+0,Credo,1445,-1,123,1416,29
osmanre263,1354,-15,Rated Bullet game,Nimzowitsch Defense,1,https://lichess.org/4LEOI0zd,Time forfeit,120+0,izzat,1518,+24,100,1354,164
jensen7ice,1717,-8,Rated Bullet game,Sicilian Defense,1,https://lichess.org/EfC2I8FB,Normal,0+1,tomi36,1791,+10,-136,1717,74
Boria,1450,+0,Rated Classical game,Sicilian Defense,2,https://lichess.org/9oplLs7j,Normal,300+15,hernype,1444,+0,-62,1450,-6
champtazz14,1857,+9,Rated Classical game,Philidor Defense #4,0,https://lichess.org/4vMAPMIC,Normal,600+0,benistar,1755,-8,22,1857,-102
shekto,1202,-13,Rated Classical game,Horwitz Defense,1,https://lichess.org/0VsiSVV7,Normal,480+0,BlackChees,1160,+12,23,1202,-42
denic-0999,1469,-3,Rated Blitz game,Modern Defense,2,https://lichess.org/iTrws5P8,Normal,300+0,chanakya,1369,+3,5,1469,-100
Srael,1595,-69,Rated Bullet game,Sicilian Defense,1,https://lichess.org/N7XLLofS,Normal,60+1,chucknorrista,1797,+5,18,1595,202
Lediamov,1960,+12,Rated Blitz game,Sicilian Defense,0,https://lichess.org/ptqvHLtF,Time forfeit,180+0,HyperLinear,2103,-134,16,1960,143
joerey,1653,+8,Rated Classical game,Scotch Game,0,https://lichess.org/A7XpvpVH,Normal,600+0,WETERAN,1555,-9,125,1653,-98
YakutskCity,1167,-8,Rated Blitz game,Scandinavian Defense,1,https://lichess.org/mpHZcOC8,Time forfeit,180+0,robis,1374,+5,492,1167,207
Sline,1367,+1,Rated Classical game,King's Knight Opening,2,https://lichess.org/MTvC53ht,Time forfeit,540+0,lalenshko,1400,-1,150,1367,33
Rahstah,1631,+9,Rated Bullet game,Van't Kruijs Opening,0,https://lichess.org/0DkoPWLp,Normal,60+0,Master_Chief,1592,-10,-318,1631,-39
maltsev_vladimir,1670,-7,Rated Blitz game,Sicilian Defense,1,https://lichess.org/sVJTWNtR,Normal,300+1,Acharon,1803,+7,21,1670,133
rjcdagas,1821,-10,Rated Blitz game,Ruy Lopez,1,https://lichess.org/7Xx9vR9w,Time forfeit,300+0,petra,1846,+9,78,1821,25
pinchacarlos,1493,-5,Rated Classical game,English Opening,2,https://lichess.org/ejOKq2GK,Normal,300+8,galopealegre,1344,+5,332,1493,-149
Gambito13193,1644,+0,Rated Blitz game,Italian Game,2,https://lichess.org/oKx0XVnT,Time forfeit,300+0,bolang_ka_ne,1649,+0,46,1644,5
olegasD,1705,+6,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,Sicilian Defense,0,https://lichess.org/pGrvQv8Z,Normal,60+0,vic7,1527,-7,2,1705,-178
lorenzopetrecca,1683,-12,Rated Classical game,English Opening,1,https://lichess.org/yYgcxj06,Normal,900+0,gregorc,1637,+12,25,1683,-46
sendia,1549,-16,Rated Classical game,Rat Defense,1,https://lichess.org/WvJMdvtC,Normal,300+5,superca,1403,+15,61,1549,-146
marceloromero,1481,-3,Rated Blitz game,Vienna Game,1,https://lichess.org/lvnlNPwR,Normal,240+2,nikolay_pavlov,1818,+3,102,1481,337
titdfdr,1583,-9,Rated Blitz game,Bishop's Opening,1,https://lichess.org/3G6emMM1,Time forfeit,300+0,sausky77,1632,+10,13,1583,49
imarxilif,1401,+19,Rated Classical game,French Defense,0,https://lichess.org/lM16MbcM,Normal,780+8,SIKENDER--ALI,1433,-51,15,1401,32
redondon,1297,-6,Rated Classical game,French Defense,1,https://lichess.org/czXovpXW,Normal,900+3,Vlast777,1610,+17,80,1297,313
Fivonachi,1221,+173,Rated Classical game,Modern Defense,0,https://lichess.org/Qo3E1ew6,Normal,300+5,MenaceMax,1342,-11,35,1221,121
jeremyRutman,1963,+12,Rated Blitz game,Owen Defense,0,https://lichess.org/5UefKiAD,Time forfeit,120+2,benexvii,2010,-12,103,1963,47
jensen7ice,1709,+12,Rated Bullet game,Old Benoni Defense,0,https://lichess.org/VDriqReJ,Normal,60+0,Sazur,1762,-13,54,1709,53
MIHALICH56,1514,+21,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,King's Pawn Game,0,https://lichess.org/I3tmawRy,Time forfeit,60+0,cocochess,1931,-26,74,1514,417
nichiren1967,1751,+13,Rated Bullet game,Englund Gambit Complex,0,https://lichess.org/4GZn8ukB,Normal,60+0,colme,1830,-14,165,1751,79
jfsurban,1738,-5,Rated Classical game,English Opening,1,https://lichess.org/fVGEGnGe,Normal,480+0,INALEVA,1976,+4,16,1738,238
Palomita-10,1248,-9,Rated Classical game,French Defense,1,https://lichess.org/CxEGWBzc,Normal,1200+10,LuisDelgado,1520,+4,72,1248,272
AATILA,1658,+14,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,English Opening,0,https://lichess.org/EZu0OHpS,Time forfeit,60+0,olegasD,1711,-13,45,1658,53
sbs55,1693,+15,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,Dutch Defense,0,https://lichess.org/nRE6Bj8q,Time forfeit,300+0,soho,1784,-15,97,1693,91
mime45,1720,+15,Rated Blitz game,Sicilian Defense,0,https://lichess.org/Wi6JoHZF,Normal,180+1,mervynj,1864,-15,93,1720,144
Ol_A_N,1500,-378,Rated Classical game,Scandinavian Defense,1,https://lichess.org/DhCIYSZ0,Normal,360+4,plaver,1198,+28,-137,1500,-302
Master_Chief,1582,-9,Rated Bullet game,French Defense,1,https://lichess.org/278nLNfB,Time forfeit,60+0,Rahstah,1640,+9,28,1582,58
KB5252,1561,-11,Rated Classical game,King's Pawn Game,1,https://lichess.org/swKwyebE,Normal,480+0,Snowden,1581,+11,132,1561,20
captenpolip,1810,+32,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,Bird Opening,0,https://lichess.org/kgt9peMg,Normal,300+0,p00p00p33p33,1549,-5,125,1810,-261
Race,1667,-7,Rated Bullet game,Caro-Kann Defense,1,https://lichess.org/wZXsAYRE,Normal,60+1,chucknorrista,1802,+7,57,1667,135
cocochess,1905,+3,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,Sicilian Defense,0,https://lichess.org/SE50ZrBT,Time forfeit,60+0,vic7,1520,-2,60,1905,-385
nogueking,1293,-10,Rated Classical game,Russian Game,1,https://lichess.org/wuS6yUg7,Normal,480+1,Amazing-Grace,1293,+58,73,1293,0
bowline,1724,+6,Rated Classical game,Owen Defense,0,https://lichess.org/s92yAfeU,Normal,600+0,Adrian-XT,1579,-8,53,1724,-145
kpenahau,1886,+48,Rated Blitz game,Budapest Defense,0,https://lichess.org/jDE2Hmpg,Normal,180+0,ren,1673,-5,375,1886,-213
kaisersoze,1235,+22,Rated Bullet game,Anderssen Opening,0,https://lichess.org/LmOYzBAo,Time forfeit,0+3,chessboy1000,1442,-16,3,1235,207
vadimdim,1709,-10,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,Slav Defense,1,https://lichess.org/ELWfSwYA,Normal,300+0,caballomanco,1767,+10,32,1709,58
colme,1816,+10,Rated Bullet game,Sicilian Defense,0,https://lichess.org/6N8t3SYt,Normal,60+0,nichiren1967,1764,-9,67,1816,-52
mikeisapro,1661,+6,Rated Bullet game,Bishop's Opening,0,https://lichess.org/I1ZAQ9HW,Normal,120+0,man2014,1523,-7,95,1661,-138
VishyFan,1430,-7,Rated Blitz game,Queen's Pawn Game,1,https://lichess.org/kdWS4Jpc,Time forfeit,120+6,y59,1607,+6,5,1430,177
Calculaton,1513,+8,Rated Classical game,Van Geet Opening,0,https://lichess.org/B1ObQQDk,Normal,600+5,i_am_sancho,1427,-9,75,1513,-86
Cardioth,991,-7,Rated Classical game,Four Knights Game,1,https://lichess.org/tLRwGUYd,Normal,300+6,BlackChees,1160,+6,133,991,169
christopheh,1836,-9,Rated Blitz game,Indian Game,1,https://lichess.org/50oJcuAt,Normal,300+0,MIHALICH56,1888,+10,24,1836,52
AHORALASS,2097,+28,Rated Classical game,Ruy Lopez,0,https://lichess.org/hg5dKGNn,Normal,480+12,soapytime,2077,-11,18,2097,-20
silveirada,1391,-11,Rated Classical game,Indian Game,1,https://lichess.org/oFPAyi3S,Normal,900+0,Pinatubotrek,1404,+11,359,1391,13
flesi01,1544,-11,Rated Classical game,Petrov's Defense,1,https://lichess.org/gllQedxF,Normal,300+8,hemayatgar,1515,+12,217,1544,-29
gramo,1465,-7,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,Hungarian Opening,1,https://lichess.org/3kdnXlP2,Normal,300+0,denbagus,1646,+6,-21,1465,181
izzat,1542,+20,Rated Bullet game,Sicilian Defense,0,https://lichess.org/LwSoCPWo,Normal,120+0,osmanre263,1339,-13,33,1542,-203
asman,1742,-10,Rated Blitz game,Caro-Kann Defense,1,https://lichess.org/tdFuATmx,Normal,360+0,starstryder,1767,+10,34,1742,25
davidpiojoso87,1584,+44,Rated Bullet game,London System,0,https://lichess.org/Sc78v3cX,Normal,60+0,Sazur,1749,-16,28,1584,165
Srael,1433,+84,Rated Blitz game,Old Benoni Defense #2,0,https://lichess.org/V58sI89p,Time forfeit,180+0,ltfrsd,1500,-202,500,1433,67
cafu2014,1139,-7,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,King's Pawn Game,1,https://lichess.org/bOqep4g0,Normal,300+0,erneblanco2000,1405,+5,102,1139,266
EliasPZ,1412,-9,Rated Blitz game,French Defense,1,https://lichess.org/3sufH419,Normal,300+0,Credo,1444,+10,110,1412,32
garcapunga,1633,-17,Rated Blitz game,Horwitz Defense,1,https://lichess.org/jHlbyRgv,Normal,180+0,mariana76,1641,+11,260,1633,8
axmed1938,1733,-13,Rated Classical game,King's Gambit,1,https://lichess.org/ZZ31icDn,Normal,60+30,gavriel32,1644,+14,40,1733,-89
chessboy1000,1426,+6,Rated Bullet game,St. George Defense,0,https://lichess.org/g2uQMk84,Normal,0+3,kaisersoze,1257,-8,22,1426,-169
Rahstah,1649,+8,Rated Bullet game,Van't Kruijs Opening,0,https://lichess.org/z6l1840h,Time forfeit,60+0,Master_Chief,1573,-9,34,1649,-76
nicksart,1531,-3,Rated Blitz game,French Defense,1,https://lichess.org/1GNDURNz,Time forfeit,240+1,chessnuevo,1867,+3,27,1531,336
cocochess,1908,-22,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,Sicilian Defense,1,https://lichess.org/xMCQAJY7,Time forfeit,60+0,olegasD,1698,+18,-41,1908,-210
Mikle1055,1766,+4,Rated Classical game,Slav Defense,0,https://lichess.org/rMRmkBMv,Normal,600+5,Nurofik,1500,-80,-14,1766,-266
saeta,1556,-24,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,Queen's Pawn Game #2,1,https://lichess.org/iAa9GN25,Normal,300+0,soldierbr,1532,+13,-28,1556,-24
maltsev_vladimir,1663,+7,Rated Blitz game,Horwitz Defense,0,https://lichess.org/YCGFk2Ww,Normal,180+4,supermagia,1544,-7,0,1663,-119
jensen7ice,1721,+12,Rated Bullet game,Sicilian Defense,0,https://lichess.org/dHzFu4Yx,Time forfeit,0+1,tomi36,1801,-15,-1,1721,80
rabetabbevon,2130,+11,Rated Blitz game,Sicilian Defense,2,https://lichess.org/BpnrAgu5,Normal,180+1,Smokecraft,2217,-3,62,2130,87
vic7,1518,-8,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,King's Pawn Game,1,https://lichess.org/CIc1MyuE,Time forfeit,60+0,AATILA,1672,+7,27,1518,154
MartinRM,1714,-15,Rated Blitz game,Queen's Pawn Game,1,https://lichess.org/SFkVOzoK,Normal,300+0,Simone,1579,+15,47,1714,-135
Miguelito1212,1595,+4,Rated Classical game,Three Knights Opening,0,https://lichess.org/GI1jDaIN,Normal,900+0,riversideman,1247,-5,57,1595,-348
Pichafrita,1577,-18,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,French Defense,1,https://lichess.org/uSWS1xq0,Normal,300+0,zecoquinho666,1345,+21,32,1577,-232
bookle,2213,+7,Rated Blitz game,Sicilian Defense,0,https://lichess.org/gEB0lKQy,Normal,300+0,danielcuva,2007,-5,-39,2213,-206
nichiren1967,1755,+13,Rated Bullet game,English Defense,0,https://lichess.org/DtGuyVah,Time forfeit,60+0,colme,1826,-13,134,1755,71
abmagalhaes,1547,-8,Rated Blitz game,Queen's Pawn Game,1,https://lichess.org/LzMsVqgU,Time forfeit,180+0,edas,1642,+8,-22,1547,95
Race,1756,-7,Rated Blitz game,Caro-Kann Defense,1,https://lichess.org/TwG8MjSc,Normal,180+2,dancingbear,1881,+7,64,1756,125
LYDHER,1654,+11,Rated Classical game,Polish Opening,0,https://lichess.org/4PSOEdlk,Normal,300+5,fantantric,1648,-11,13,1654,-6
babayaga,1248,+0,Rated Classical game,Philidor Defense #3,1,https://lichess.org/939Y4Plt,Normal,600+0,Airon8,2036,+1,909,1248,788
Smokecraft,2214,-17,Rated Blitz game,Gruenfeld Defense,1,https://lichess.org/UMQiTPvU,Time forfeit,180+1,rabetabbevon,2141,+50,40,2214,-73
p00p00p33p33,1432,-3,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,Mieses Opening,1,https://lichess.org/1TDrf5em,Time forfeit,60+0,Aurorachess58,1790,+3,66,1432,358
kaisersoze,1249,-7,Rated Bullet game,Clemenz Opening,1,https://lichess.org/S8aoxh6r,Normal,0+3,chessboy1000,1432,+6,-25,1249,183
emorycook,1417,+10,Rated Blitz game,French Defense,0,https://lichess.org/8PF58uVc,Normal,300+0,s138110,1385,-10,-15,1417,-32
Master_Chief,1564,-8,Rated Bullet game,French Defense,1,https://lichess.org/JAQqK95U,Time forfeit,60+0,Rahstah,1657,+7,183,1564,93
vic7,1510,+7,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,English Opening,2,https://lichess.org/xfUrkr1N,Time forfeit,60+0,olegasD,1716,-6,75,1510,206
rmball,1771,+42,Rated Classical game,Sicilian Defense,0,https://lichess.org/6eX2yQBX,Time forfeit,600+0,valerioneto,1532,-4,-9,1771,-239
AATILA,1679,-6,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,Nimzowitsch Defense,1,https://lichess.org/SXZARqJg,Time forfeit,60+0,cocochess,1886,+7,160,1679,207
YakutskCity,1159,-9,Rated Blitz game,Queen's Pawn Game,1,https://lichess.org/7XoprZZ7,Normal,420+0,AZCornhusker,1320,+7,-30,1159,161
colme,1813,-13,Rated Bullet game,Sicilian Defense,1,https://lichess.org/u8P44vBX,Time forfeit,60+0,nichiren1967,1768,+11,-39,1813,-45
Augusto99,1420,+17,Rated Classical game,Queen's Gambit Accepted,0,https://lichess.org/3DnHy3la,Normal,780+15,dluise,1599,-17,36,1420,179
garcapunga,1412,+16,Rated Bullet game,Rat Defense,0,https://lichess.org/PHrgNKrh,Time forfeit,120+0,Johpress,1500,-14,178,1412,88
mikeisapro,1667,+2,Rated Bullet game,English Opening,2,https://lichess.org/zN5fBkUg,Time forfeit,60+0,jensen7ice,1733,-2,60,1667,66
benexvii,1998,-12,Rated Blitz game,Hungarian Opening,1,https://lichess.org/Y8THWME6,Normal,120+2,jeremyRutman,1975,+12,-50,1998,-23
natosil01,1487,+9,Rated Classical game,Nimzo-Larsen Attack,0,https://lichess.org/MhAog93R,Normal,600+0,Heatran,1419,-9,67,1487,-68
TheY2AProblem,948,+24,Rated Blitz game,King's Gambit Accepted,0,https://lichess.org/dEDjvSxS,Time forfeit,60+3,ntiy,1158,-17,110,948,210
captenpolip,1842,+24,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,Colle System,0,https://lichess.org/BS62XAGd,Time forfeit,300+0,soldierbr,1545,-4,-33,1842,-297
dnicolasm,1479,+20,Rated Classical game,Philidor Defense #2,0,https://lichess.org/rKn70t2W,Time forfeit,720+8,Giovanna,1374,-8,426,1479,-105
shekto,1189,+9,Rated Classical game,Italian Game,0,https://lichess.org/rRUlmjrr,Normal,480+0,garita,1127,-37,-205,1189,-62
juanelo333,1447,-10,Rated Classical game,Ruy Lopez,1,https://lichess.org/CVxdMIjL,Normal,300+5,inspecteur_snail,1506,+9,65,1447,59
erneblanco2000,1410,+0,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,Nimzowitsch Defense,1,https://lichess.org/1vdpmFza,Normal,300+0,AdrianVeloso,2306,+1,10,1410,896
chanakya,1372,-8,Rated Blitz game,Philidor Defense #4,1,https://lichess.org/fZQkHLi6,Normal,300+0,denic-0999,1466,+8,58,1372,94
Vytas123,1536,-12,Rated Classical game,Saragossa Opening,1,https://lichess.org/RYc95xNU,Normal,1500+4,honam,1516,+11,6,1536,-20
OnlyAPawnInTheirGame,1689,+7,Rated Classical game,Nimzowitsch Defense,0,https://lichess.org/2WJsfOii,Normal,720+0,stuart59,1537,-7,125,1689,-152
aprendiz2005,1702,+15,Rated Blitz game,English Opening,0,https://lichess.org/upDOUYsD,Normal,180+2,LogicallyCompromised,1549,-6,-5,1702,-153
champtazz14,1866,+7,Rated Classical game,Philidor Defense #4,0,https://lichess.org/XWb2ahU9,Normal,600+0,benistar,1747,-8,42,1866,-119
Rahstah,1664,+8,Rated Bullet game,Van't Kruijs Opening,0,https://lichess.org/FVaQJ38s,Time forfeit,60+0,Master_Chief,1556,-8,586,1664,-108
cocochess,1893,-4,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,Mieses Opening,2,https://lichess.org/DLzNd3Vk,Time forfeit,60+0,Aurorachess58,1793,+3,-179,1893,-100
Maluma,1665,+26,Rated Classical game,Modern Defense,0,https://lichess.org/EZGsXPao,Normal,480+7,baladhars,1469,-5,-34,1665,-196
munchies,1861,+12,Rated Classical game,Queen's Gambit Refused,0,https://lichess.org/dGrESwD3,Normal,300+5,EDPAUL,1908,-12,22,1861,47
joerey,1661,+8,Rated Classical game,Scotch Game,0,https://lichess.org/NDcsNDzF,Normal,600+0,WETERAN,1546,-8,117,1661,-115
man2014,1516,+19,Rated Bullet game,French Defense,0,https://lichess.org/VgLxYQSg,Time forfeit,60+1,chucknorrista,1809,-19,186,1516,293
FrancoPerafan17,1832,+54,Rated Classical game,Elephant Gambit,0,https://lichess.org/1o4uq2oI,Normal,300+8,Miicou,1670,-18,25,1832,-162
MATH_ERROR,1912,-8,Rated Bullet game,King's Gambit Accepted,1,https://lichess.org/hdBANuHq,Time forfeit,60+0,danielcuva,2005,+8,35,1912,93
vic7,1517,-7,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,French Defense,1,https://lichess.org/4RmFsSv3,Time forfeit,60+0,AATILA,1673,+7,-13,1517,156
Adrian-XT,1571,-6,Rated Classical game,Nimzo-Indian Defense,1,https://lichess.org/8G1Be0hJ,Normal,600+0,bowline,1730,+7,48,1571,159
sjgarcia82,1729,+7,Rated Blitz game,Queen's Pawn Game,0,https://lichess.org/bSTaDlhr,Normal,300+0,Simone,1594,-7,5,1729,-135
tugodum,1733,+5,Rated Blitz game,Queen's Pawn Game,0,https://lichess.org/JG5gxdi9,Normal,180+4,cesarpr78,1500,-4,-24,1733,-233
Snowden,1592,+10,Rated Classical game,Nimzowitsch Defense,0,https://lichess.org/K6QnXOef,Normal,480+0,KB5252,1550,-10,-101,1592,-42
Rodrigopadron,1193,+13,Rated Classical game,Philidor Defense #3,0,https://lichess.org/v89ZwvRw,Normal,600+3,mozgg,1220,-11,105,1193,27
dannyflack,1324,+6,Rated Classical game,King's Gambit Accepted,0,https://lichess.org/Gy1GYPXP,Normal,300+5,YakutskCity,1150,-9,-258,1324,-174
mime45,1735,+15,Rated Blitz game,Sicilian Defense,0,https://lichess.org/yia7T6qL,Normal,180+2,SenatorDakotaFanning,1837,-14,71,1735,102
caballomanco,1777,+4,Rated Blitz tournament https://lichess.org/tournament/WobzKz8x,Pirc Defense,0,https://lichess.org/7XGcUFhk,Normal,300+0,saeta,1532,-9,110,1777,-245
denic-0999,1474,-15,Rated Blitz game,Sicilian Defense,1,https://lichess.org/kmtHXYly,Normal,300+0,chanakya,1364,+14,-50,1474,-110
nichiren1967,1779,+11,Rated Bullet game,Englund Gambit Complex,0,https://lichess.org/CEfyoN7r,Normal,60+0,colme,1800,-11,156,1779,21
hernype,1444,+0,Rated Classical game,King's Gambit Accepted,2,https://lichess.org/epRNdOlD,Normal,300+15,Boria,1450,-1,722,1444,6
galopealegre,1349,-8,Rated Classical game,Queen's Gambit Refused,1,https://lichess.org/C4pf6Gbt,Normal,300+8,pinchacarlos,1488,+8,86,1349,139
danielcuva,2013,-14,Rated Bullet game,Van't Kruijs Opening,1,https://lichess.org/a3dRwjxQ,Time forfeit,60+0,MATH_ERROR,1904,+14,-74,2013,-109
kaisersoze,1218,+14,Rated Blitz game,French Defense #2,0,https://lichess.org/0WKS7Yr0,Normal,300+0,valerarodro,1312,-14,-36,1218,94
Master_Chief,1548,+15,Rated Bullet game,French Defense,0,https://lichess.org/5EUfdwpi,Time forfeit,60+0,Rahstah,1672,-14,62,1548,124
SIGART,1503,-28,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,Scandinavian Defense,1,https://lichess.org/IYrOqRH4,Time forfeit,60+0,vic7,1510,+11,584,1503,7
vova351,1803,+8,Rated Bullet tournament https://lichess.org/tournament/6rJRbpuY,Pirc Defense #4,0,https://lichess.org/EqO5OrL1,Normal,60+0,AATILA,1680,-8,232,1803,-123
colme,1789,+11,Rated Bullet game,Sicilian Defense,0,https://lichess.org/AeSSDwv1,Normal,60+0,nichiren1967,1790,-10,43,1789,1
chessito,1535,-4,Rated Bullet game,Zukertort Opening,1,https://lichess.org/a5RH5DLX,Normal,120+1,ralphjos,1816,+4,340,1535,281
